,Powell,Fontenelle,Flaming Gorge,BlueMesa,MorrowPoint,Crystal ,TaylorPark ,Vallecito,Navajo (Mod),Animas at Durango,GJ Local,Yampa Maybell Plus Lily
October,619,57,71,44,47,52,8,20,59,38,87,39
November,456,48,62,32,34,39,6,9,31,18,51,33
December,341,36,41,26,28,32,5,6,23,14,39,25
January,376,36,49,24,26,30,5,5,22,13,33,26
February,393,35,59,23,25,28,4,5,34,12,31,27
March,699,81,164,43,47,53,5,12,108,28,62,90
April,1259,122,187,107,119,133,11,32,220,69,164,286
May,2981,281,391,285,316,358,34,86,353,177,352,716
June,3991,498,642,407,438,491,61,104,347,220,283,734
July,2121,306,396,202,214,240,35,45,115,108,122,228
August,634,102,118,81,85,94,14,24,68,49,64,35
September,529,54,69,45,48,54,9,22,61,38,73,31
