,Powell,Fontenelle,Flaming Gorge,BlueMesa,MorrowPoint,Crystal ,TaylorPark ,Vallecito,Navajo (Mod),Animas at Durango,GJ Local,Yampa Maybell Plus Lily
October,417,45,52,36,37,43,7,13,35,23,79,26
November,450,42,50,31,32,37,5,9,30,18,52,30
December,361,32,34,26,27,32,4,7,24,15,40,25
January,350,31,42,25,26,31,5,6,22,13,34,25
February,397,29,43,23,25,29,4,5,29,12,30,25
March,614,51,85,38,40,46,5,10,92,23,47,74
April,920,77,111,78,89,100,9,23,147,51,120,203
May,2060,166,239,204,226,251,26,68,251,135,202,513
June,2423,301,389,251,265,293,40,62,187,144,132,367
July,711,146,161,86,90,98,15,21,33,51,49,60
August,371,59,66,55,56,63,8,15,24,29,52,19
September,316,39,43,35,36,42,7,16,31,26,67,13
